Credit rating;Age;Income level;Number of credit cards;Education;Car loans
"Bad";32.895675;"Medium";"5 or more";"High school";"More than 2"
"Bad";33.211823;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.980909;"High";"5 or more";"High school";"None or 1"
"Bad";20.992631;"Medium";"5 or more";"College";"More than 2"
"Bad";28.609255;"Medium";"5 or more";"College";"More than 2"
"Bad";20.789141;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.705986;"Medium";"5 or more";"High school";"None or 1"
"Bad";24.483401;"Low";"5 or more";"High school";"More than 2"
"Bad";47.156571;"Medium";"5 or more";"College";"More than 2"
"Bad";24.676674;"Medium";"5 or more";"High school";"More than 2"
"Bad";30.812853;"High";"5 or more";"High school";"More than 2"
"Bad";20.888271;"Low";"5 or more";"High school";"More than 2"
"Bad";21.050187;"Medium";"5 or more";"College";"More than 2"
"Bad";32.432073;"Medium";"5 or more";"High school";"More than 2"
"Bad";31.350943;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.926201;"Medium";"5 or more";"College";"More than 2"
"Bad";35.146405;"Medium";"5 or more";"High school";"More than 2"
"Bad";24.685988;"Medium";"Less than 5";"College";"None or 1"
"Bad";37.325912;"Low";"5 or more";"High school";"More than 2"
"Bad";30.700383;"Medium";"5 or more";"High school";"More than 2"
"Bad";32.918878;"Low";"5 or more";"High school";"More than 2"
"Bad";23.854293;"Low";"5 or more";"College";"More than 2"
"Bad";46.766544;"Low";"5 or more";"High school";"More than 2"
"Bad";27.910392;"Medium";"5 or more";"High school";"More than 2"
"Bad";46.441385;"Medium";"5 or more";"College";"None or 1"
"Bad";20.659898;"Low";"5 or more";"High school";"More than 2"
"Bad";20.964445;"Low";"5 or more";"College";"None or 1"
"Bad";24.454183;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.062442;"Low";"5 or more";"High school";"More than 2"
"Bad";38.058841;"Low";"5 or more";"College";"More than 2"
"Bad";22.992447;"Medium";"5 or more";"College";"More than 2"
"Bad";22.370362;"Low";"5 or more";"College";"More than 2"
"Bad";26.205446;"Low";"5 or more";"High school";"More than 2"
"Bad";36.447935;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.721296;"Medium";"5 or more";"College";"More than 2"
"Bad";33.280905;"Low";"5 or more";"College";"More than 2"
"Bad";28.145843;"Medium";"5 or more";"High school";"More than 2"
"Bad";44.131167;"Medium";"5 or more";"High school";"None or 1"
"Bad";24.888332;"Low";"5 or more";"College";"More than 2"
"Bad";21.871835;"Medium";"5 or more";"High school";"More than 2"
"Bad";28.229686;"Low";"5 or more";"High school";"None or 1"
"Bad";36.981075;"Medium";"5 or more";"College";"More than 2"
"Bad";24.157021;"Low";"5 or more";"College";"More than 2"
"Bad";35.668289;"Medium";"5 or more";"College";"More than 2"
"Bad";24.973661;"Low";"5 or more";"College";"More than 2"
"Bad";30.569169;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.375019;"Low";"5 or more";"College";"More than 2"
"Bad";32.668886;"Medium";"5 or more";"College";"More than 2"
"Bad";20.572878;"Low";"5 or more";"High school";"More than 2"
"Bad";26.658842;"Low";"Less than 5";"High school";"None or 1"
"Bad";30.804043;"Low";"5 or more";"College";"More than 2"
"Bad";29.842609;"Medium";"5 or more";"College";"More than 2"
"Bad";50.825931;"Low";"5 or more";"High school";"More than 2"
"Bad";29.255329;"Low";"5 or more";"College";"More than 2"
"Bad";35.217775;"Medium";"5 or more";"College";"More than 2"
"Bad";35.817938;"Low";"5 or more";"College";"None or 1"
"Bad";24.437996;"Medium";"5 or more";"High school";"More than 2"
"Bad";23.396598;"Medium";"5 or more";"High school";"More than 2"
"Bad";38.676638;"Medium";"5 or more";"High school";"More than 2"
"Bad";21.860814;"Medium";"5 or more";"College";"More than 2"
"Bad";24.042646;"Low";"5 or more";"High school";"More than 2"
"Bad";25.717911;"Medium";"5 or more";"College";"More than 2"
"Bad";26.807497;"Medium";"5 or more";"College";"More than 2"
"Bad";36.620295;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.050418;"Low";"5 or more";"College";"More than 2"
"Bad";30.772255;"Low";"5 or more";"High school";"More than 2"
"Bad";22.174116;"Low";"5 or more";"High school";"More than 2"
"Bad";42.927912;"Low";"5 or more";"College";"More than 2"
"Bad";26.791214;"Medium";"Less than 5";"High school";"None or 1"
"Bad";24.239845;"Low";"5 or more";"College";"More than 2"
"Bad";25.815167;"Low";"5 or more";"College";"More than 2"
"Bad";20.744928;"Medium";"5 or more";"High school";"More than 2"
"Bad";40.874953;"Medium";"5 or more";"High school";"More than 2"
"Bad";52.954417;"Low";"5 or more";"College";"More than 2"
"Bad";25.348132;"Medium";"5 or more";"College";"More than 2"
"Bad";28.121609;"Low";"5 or more";"College";"More than 2"
"Bad";29.505454;"Low";"5 or more";"High school";"More than 2"
"Bad";35.896040;"Low";"5 or more";"College";"More than 2"
"Bad";20.140081;"Medium";"5 or more";"High school";"More than 2"
"Bad";23.226764;"Low";"5 or more";"College";"More than 2"
"Bad";44.821069;"Low";"5 or more";"High school";"More than 2"
"Bad";43.573314;"Medium";"5 or more";"College";"More than 2"
"Bad";20.157773;"Medium";"Less than 5";"College";"None or 1"
"Bad";27.440025;"Low";"5 or more";"College";"More than 2"
"Bad";24.034175;"Low";"5 or more";"High school";"More than 2"
"Bad";37.078771;"Medium";"5 or more";"High school";"More than 2"
"Bad";25.786154;"High";"5 or more";"College";"None or 1"
"Bad";24.798577;"Low";"5 or more";"College";"More than 2"
"Bad";31.745384;"Low";"5 or more";"High school";"More than 2"
"Bad";38.719923;"Medium";"5 or more";"College";"None or 1"
"Bad";24.120058;"Medium";"5 or more";"College";"More than 2"
"Bad";31.796023;"Low";"5 or more";"High school";"More than 2"
"Bad";43.032006;"Low";"5 or more";"College";"More than 2"
"Bad";22.099496;"Medium";"5 or more";"College";"More than 2"
"Bad";26.797663;"High";"5 or more";"College";"More than 2"
"Bad";39.979809;"High";"5 or more";"College";"More than 2"
"Bad";31.475303;"Medium";"Less than 5";"High school";"None or 1"
"Bad";23.640602;"Low";"5 or more";"High school";"More than 2"
"Bad";33.181440;"Low";"5 or more";"High school";"More than 2"
"Bad";40.000190;"Low";"5 or more";"High school";"More than 2"
"Bad";23.446077;"High";"5 or more";"High school";"More than 2"
"Bad";29.844458;"Low";"Less than 5";"High school";"None or 1"
"Bad";29.323569;"Low";"Less than 5";"High school";"None or 1"
"Bad";22.509469;"Low";"5 or more";"High school";"More than 2"
"Bad";31.427644;"Low";"Less than 5";"High school";"None or 1"
"Bad";32.962049;"Low";"5 or more";"High school";"None or 1"
"Bad";37.231494;"Medium";"5 or more";"College";"More than 2"
"Bad";39.489116;"Low";"5 or more";"College";"More than 2"
"Bad";21.985292;"Low";"5 or more";"High school";"More than 2"
"Bad";31.010350;"Low";"5 or more";"High school";"More than 2"
"Bad";40.398639;"Low";"5 or more";"High school";"More than 2"
"Bad";28.528876;"Low";"5 or more";"High school";"More than 2"
"Bad";21.925407;"Medium";"5 or more";"College";"More than 2"
"Bad";25.522398;"Low";"5 or more";"High school";"More than 2"
"Bad";20.722190;"Low";"5 or more";"College";"More than 2"
"Bad";43.569439;"Low";"5 or more";"High school";"None or 1"
"Bad";33.090302;"Low";"5 or more";"High school";"More than 2"
"Bad";27.852924;"Medium";"5 or more";"High school";"More than 2"
"Bad";28.740288;"Low";"5 or more";"College";"More than 2"
"Bad";44.614581;"Low";"5 or more";"College";"None or 1"
"Bad";22.316439;"High";"5 or more";"College";"More than 2"
"Bad";32.725667;"Medium";"5 or more";"College";"More than 2"
"Bad";32.196810;"Low";"5 or more";"College";"More than 2"
"Bad";22.218036;"Medium";"Less than 5";"College";"None or 1"
"Bad";30.259851;"Medium";"5 or more";"High school";"More than 2"
"Bad";54.675293;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.513601;"Medium";"Less than 5";"High school";"None or 1"
"Bad";20.142021;"Low";"5 or more";"College";"More than 2"
"Bad";29.248311;"Low";"5 or more";"College";"More than 2"
"Bad";38.141900;"Low";"5 or more";"High school";"More than 2"
"Bad";28.763957;"Low";"5 or more";"College";"More than 2"
"Bad";36.450287;"Low";"5 or more";"High school";"None or 1"
"Bad";20.636091;"Medium";"5 or more";"High school";"None or 1"
"Bad";24.544172;"Medium";"5 or more";"High school";"More than 2"
"Bad";31.385979;"Low";"5 or more";"College";"More than 2"
"Bad";39.797804;"Low";"5 or more";"College";"More than 2"
"Bad";28.563592;"Medium";"5 or more";"College";"More than 2"
"Bad";22.611829;"Low";"5 or more";"College";"More than 2"
"Bad";33.174461;"Low";"5 or more";"College";"More than 2"
"Bad";43.371246;"Low";"5 or more";"College";"None or 1"
"Bad";34.359617;"Medium";"5 or more";"High school";"None or 1"
"Bad";40.674425;"Medium";"Less than 5";"College";"None or 1"
"Bad";33.741873;"High";"5 or more";"High school";"None or 1"
"Bad";25.233896;"Medium";"5 or more";"High school";"More than 2"
"Bad";26.090047;"Low";"5 or more";"College";"More than 2"
"Bad";31.628185;"Low";"5 or more";"College";"More than 2"
"Bad";41.670189;"Medium";"5 or more";"College";"More than 2"
"Bad";23.075137;"Medium";"5 or more";"High school";"None or 1"
"Bad";24.860283;"Low";"5 or more";"College";"More than 2"
"Bad";23.628451;"Medium";"5 or more";"High school";"More than 2"
"Bad";25.963458;"Medium";"5 or more";"High school";"More than 2"
"Bad";44.004780;"Medium";"Less than 5";"College";"None or 1"
"Bad";21.956980;"Low";"5 or more";"High school";"More than 2"
"Bad";37.582881;"Medium";"5 or more";"College";"More than 2"
"Bad";53.863359;"Low";"5 or more";"College";"More than 2"
"Bad";29.797108;"Medium";"5 or more";"High school";"More than 2"
"Bad";26.723505;"Medium";"5 or more";"College";"More than 2"
"Bad";24.202476;"Medium";"5 or more";"High school";"More than 2"
"Bad";34.359562;"Low";"Less than 5";"High school";"None or 1"
"Bad";24.864560;"Medium";"5 or more";"High school";"More than 2"
"Bad";33.743440;"Medium";"5 or more";"College";"More than 2"
"Bad";36.221727;"Medium";"Less than 5";"High school";"None or 1"
"Bad";24.222408;"Low";"5 or more";"College";"More than 2"
"Bad";43.814140;"Low";"5 or more";"College";"More than 2"
"Bad";22.576523;"High";"5 or more";"College";"More than 2"
"Bad";47.893459;"High";"5 or more";"College";"More than 2"
"Bad";37.563026;"Low";"5 or more";"High school";"None or 1"
"Bad";24.414340;"Medium";"5 or more";"College";"More than 2"
"Bad";28.234315;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.588559;"Medium";"5 or more";"High school";"None or 1"
"Bad";27.883461;"Medium";"5 or more";"High school";"More than 2"
"Bad";23.603585;"Low";"5 or more";"High school";"More than 2"
"Bad";20.840954;"Medium";"Less than 5";"College";"More than 2"
"Bad";34.510645;"Low";"5 or more";"College";"More than 2"
"Bad";32.747352;"Low";"5 or more";"College";"More than 2"
"Bad";30.150918;"Low";"5 or more";"College";"More than 2"
"Bad";22.427952;"Medium";"5 or more";"High school";"More than 2"
"Bad";23.454169;"Low";"5 or more";"High school";"More than 2"
"Bad";31.801995;"Medium";"5 or more";"High school";"None or 1"
"Bad";22.964332;"Low";"5 or more";"College";"More than 2"
"Bad";37.318194;"Low";"5 or more";"College";"More than 2"
"Bad";29.353057;"Medium";"5 or more";"College";"More than 2"
"Bad";51.909121;"Medium";"5 or more";"High school";"None or 1"
"Bad";26.824525;"Medium";"5 or more";"College";"More than 2"
"Bad";40.757641;"Low";"5 or more";"College";"More than 2"
"Bad";40.514973;"Medium";"5 or more";"High school";"More than 2"
"Bad";25.149770;"Medium";"5 or more";"High school";"More than 2"
"Bad";30.290568;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.572461;"Low";"5 or more";"College";"More than 2"
"Bad";29.599120;"Medium";"5 or more";"College";"None or 1"
"Bad";21.392124;"Low";"5 or more";"High school";"More than 2"
"Bad";26.523511;"Medium";"Less than 5";"High school";"None or 1"
"Bad";23.638010;"Low";"5 or more";"High school";"More than 2"
"Bad";24.874258;"Medium";"5 or more";"College";"More than 2"
"Bad";26.419303;"Low";"5 or more";"High school";"More than 2"
"Bad";31.894717;"Medium";"5 or more";"College";"More than 2"
"Bad";32.916918;"Low";"5 or more";"College";"More than 2"
"Bad";37.424854;"Medium";"5 or more";"High school";"More than 2"
"Bad";28.135533;"Low";"5 or more";"High school";"More than 2"
"Bad";24.714522;"Medium";"5 or more";"High school";"More than 2"
"Bad";35.117128;"Medium";"5 or more";"High school";"More than 2"
"Bad";32.563187;"Medium";"5 or more";"College";"More than 2"
"Bad";35.032573;"Medium";"5 or more";"High school";"More than 2"
"Bad";43.273702;"Medium";"5 or more";"College";"More than 2"
"Bad";23.534267;"Low";"5 or more";"College";"More than 2"
"Bad";25.010971;"Medium";"5 or more";"High school";"More than 2"
"Bad";26.606923;"Low";"5 or more";"College";"More than 2"
"Bad";41.410733;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.348043;"Low";"Less than 5";"College";"None or 1"
"Bad";35.240919;"Low";"5 or more";"High school";"More than 2"
"Bad";44.299236;"Low";"5 or more";"College";"More than 2"
"Bad";38.612486;"Medium";"5 or more";"High school";"More than 2"
"Bad";33.531109;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.530327;"Medium";"5 or more";"High school";"More than 2"
"Bad";46.512940;"Low";"5 or more";"College";"More than 2"
"Bad";28.049147;"High";"5 or more";"College";"More than 2"
"Bad";40.292650;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.725906;"Medium";"Less than 5";"College";"None or 1"
"Bad";26.529737;"Low";"5 or more";"College";"More than 2"
"Bad";38.762731;"Medium";"Less than 5";"High school";"None or 1"
"Bad";35.564114;"High";"5 or more";"College";"More than 2"
"Bad";28.247879;"Medium";"5 or more";"College";"More than 2"
"Bad";37.120807;"Medium";"Less than 5";"High school";"None or 1"
"Bad";22.783358;"Medium";"Less than 5";"College";"None or 1"
"Bad";37.071326;"Medium";"Less than 5";"College";"None or 1"
"Bad";35.002588;"High";"5 or more";"High school";"More than 2"
"Bad";39.015534;"Medium";"5 or more";"College";"More than 2"
"Bad";29.209775;"Medium";"5 or more";"College";"More than 2"
"Bad";21.605985;"Medium";"5 or more";"College";"More than 2"
"Bad";25.406183;"Low";"5 or more";"College";"More than 2"
"Bad";36.409150;"Medium";"5 or more";"High school";"More than 2"
"Bad";34.306475;"Low";"5 or more";"College";"More than 2"
"Bad";20.182792;"Medium";"5 or more";"High school";"More than 2"
"Bad";24.965542;"Low";"Less than 5";"High school";"None or 1"
"Bad";22.990775;"Medium";"Less than 5";"High school";"None or 1"
"Bad";22.931229;"Low";"5 or more";"High school";"More than 2"
"Bad";31.766729;"Low";"5 or more";"High school";"More than 2"
"Bad";40.782904;"Medium";"5 or more";"High school";"More than 2"
"Bad";25.712242;"Medium";"5 or more";"College";"More than 2"
"Bad";20.232651;"Low";"5 or more";"College";"More than 2"
"Bad";20.821134;"Low";"5 or more";"High school";"More than 2"
"Bad";22.240744;"Medium";"5 or more";"High school";"More than 2"
"Bad";23.317100;"Medium";"5 or more";"College";"More than 2"
"Bad";26.167004;"Medium";"5 or more";"College";"More than 2"
"Bad";26.222849;"Medium";"Less than 5";"College";"None or 1"
"Bad";28.905492;"Medium";"5 or more";"High school";"More than 2"
"Bad";30.318791;"Medium";"5 or more";"College";"More than 2"
"Bad";22.083930;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.068044;"Medium";"5 or more";"College";"More than 2"
"Bad";26.666457;"High";"5 or more";"High school";"More than 2"
"Bad";28.725953;"Low";"5 or more";"High school";"More than 2"
"Bad";31.088137;"High";"5 or more";"College";"More than 2"
"Bad";23.384572;"Low";"5 or more";"College";"None or 1"
"Bad";25.841249;"Low";"5 or more";"College";"None or 1"
"Bad";29.397366;"Medium";"5 or more";"College";"More than 2"
"Bad";37.356882;"Medium";"Less than 5";"High school";"None or 1"
"Bad";27.574389;"Medium";"5 or more";"High school";"More than 2"
"Bad";39.151875;"Low";"5 or more";"College";"More than 2"
"Bad";22.794718;"High";"5 or more";"High school";"More than 2"
"Bad";33.407066;"Low";"5 or more";"College";"More than 2"
"Bad";28.027300;"Low";"5 or more";"College";"None or 1"
"Bad";24.968067;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.044950;"Medium";"5 or more";"High school";"More than 2"
"Bad";41.319879;"Low";"5 or more";"High school";"More than 2"
"Bad";31.903480;"Low";"Less than 5";"College";"More than 2"
"Bad";35.849654;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.610463;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.486026;"Low";"5 or more";"High school";"More than 2"
"Bad";33.079739;"Low";"5 or more";"High school";"More than 2"
"Bad";33.509123;"Low";"5 or more";"High school";"More than 2"
"Bad";24.564654;"Medium";"5 or more";"High school";"None or 1"
"Bad";22.380960;"Medium";"5 or more";"College";"More than 2"
"Bad";27.784871;"High";"5 or more";"High school";"More than 2"
"Bad";26.615384;"Medium";"5 or more";"High school";"More than 2"
"Bad";28.748824;"Low";"5 or more";"College";"None or 1"
"Bad";20.421479;"Low";"Less than 5";"High school";"None or 1"
"Bad";22.734329;"Medium";"5 or more";"College";"More than 2"
"Bad";21.730965;"Low";"5 or more";"College";"None or 1"
"Bad";25.632019;"Medium";"5 or more";"High school";"More than 2"
"Bad";34.556452;"Medium";"5 or more";"College";"More than 2"
"Bad";40.943434;"Medium";"5 or more";"High school";"None or 1"
"Bad";35.103800;"Low";"5 or more";"High school";"More than 2"
"Bad";27.000441;"Low";"5 or more";"College";"More than 2"
"Bad";20.595580;"Medium";"5 or more";"High school";"More than 2"
"Bad";44.556822;"Medium";"5 or more";"College";"More than 2"
"Bad";33.805747;"Low";"5 or more";"High school";"More than 2"
"Bad";30.949588;"Medium";"5 or more";"High school";"More than 2"
"Bad";30.904198;"Low";"5 or more";"College";"More than 2"
"Bad";35.061897;"Low";"Less than 5";"High school";"None or 1"
"Bad";36.364301;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.883798;"Medium";"5 or more";"High school";"More than 2"
"Bad";32.445171;"Medium";"5 or more";"College";"More than 2"
"Bad";30.569267;"Low";"5 or more";"College";"More than 2"
"Bad";31.637457;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.500888;"Low";"5 or more";"High school";"More than 2"
"Bad";31.816857;"Low";"5 or more";"High school";"More than 2"
"Bad";33.834936;"Low";"5 or more";"College";"None or 1"
"Bad";22.132812;"Medium";"5 or more";"College";"More than 2"
"Bad";26.881610;"Medium";"5 or more";"College";"More than 2"
"Bad";36.351539;"Low";"5 or more";"High school";"More than 2"
"Bad";27.899186;"Medium";"Less than 5";"High school";"More than 2"
"Bad";26.688944;"Medium";"5 or more";"College";"More than 2"
"Bad";34.113939;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.243205;"Low";"5 or more";"College";"More than 2"
"Bad";33.942580;"Low";"5 or more";"College";"More than 2"
"Bad";31.934862;"Low";"5 or more";"College";"More than 2"
"Bad";25.363771;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.334595;"Low";"5 or more";"High school";"More than 2"
"Bad";35.542010;"Medium";"Less than 5";"High school";"More than 2"
"Bad";27.364803;"Medium";"Less than 5";"College";"None or 1"
"Bad";34.431213;"Low";"5 or more";"College";"More than 2"
"Bad";26.507684;"Medium";"5 or more";"College";"More than 2"
"Bad";26.526057;"Medium";"5 or more";"College";"More than 2"
"Bad";22.438951;"High";"5 or more";"College";"None or 1"
"Bad";29.608803;"Medium";"Less than 5";"College";"None or 1"
"Bad";21.973708;"Medium";"5 or more";"College";"More than 2"
"Bad";22.838873;"Medium";"5 or more";"High school";"More than 2"
"Bad";39.008977;"Medium";"5 or more";"College";"More than 2"
"Bad";31.815729;"Medium";"5 or more";"High school";"More than 2"
"Bad";30.645092;"Low";"5 or more";"High school";"More than 2"
"Bad";34.375761;"Medium";"5 or more";"College";"More than 2"
"Bad";29.665017;"Low";"5 or more";"High school";"More than 2"
"Bad";25.657650;"Medium";"5 or more";"High school";"More than 2"
"Bad";21.378528;"Low";"5 or more";"College";"None or 1"
"Bad";45.736200;"Low";"Less than 5";"College";"None or 1"
"Bad";37.545869;"Low";"5 or more";"High school";"More than 2"
"Bad";31.046627;"Low";"5 or more";"High school";"More than 2"
"Bad";30.164522;"Medium";"5 or more";"High school";"More than 2"
"Bad";56.675121;"Low";"5 or more";"High school";"More than 2"
"Bad";40.496082;"Medium";"5 or more";"High school";"More than 2"
"Bad";51.627790;"Medium";"Less than 5";"College";"None or 1"
"Bad";25.437634;"Low";"5 or more";"College";"More than 2"
"Bad";32.929785;"Low";"5 or more";"College";"More than 2"
"Bad";37.313342;"High";"5 or more";"College";"More than 2"
"Bad";24.053253;"Low";"5 or more";"High school";"More than 2"
"Bad";23.626173;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.182923;"Medium";"5 or more";"High school";"More than 2"
"Bad";32.037061;"High";"Less than 5";"College";"None or 1"
"Bad";22.901018;"Low";"5 or more";"High school";"More than 2"
"Bad";25.016899;"Medium";"5 or more";"College";"More than 2"
"Bad";31.921889;"Medium";"5 or more";"College";"More than 2"
"Bad";33.074470;"Medium";"5 or more";"College";"More than 2"
"Bad";33.093866;"Medium";"Less than 5";"College";"None or 1"
"Bad";31.348969;"Low";"5 or more";"High school";"None or 1"
"Bad";26.069563;"High";"5 or more";"High school";"None or 1"
"Bad";29.921223;"Low";"5 or more";"High school";"More than 2"
"Bad";30.147038;"Low";"5 or more";"College";"More than 2"
"Bad";40.393057;"Medium";"5 or more";"College";"More than 2"
"Bad";23.072298;"Medium";"5 or more";"High school";"More than 2"
"Bad";26.243410;"Medium";"Less than 5";"College";"None or 1"
"Bad";34.060621;"Medium";"5 or more";"High school";"More than 2"
"Bad";28.377385;"Medium";"5 or more";"College";"More than 2"
"Bad";24.023029;"Medium";"5 or more";"College";"More than 2"
"Bad";29.872199;"Medium";"Less than 5";"High school";"None or 1"
"Bad";37.786389;"Low";"5 or more";"College";"More than 2"
"Bad";44.468472;"Medium";"5 or more";"High school";"More than 2"
"Bad";25.378075;"Medium";"5 or more";"College";"More than 2"
"Bad";32.609422;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.645795;"Medium";"5 or more";"High school";"More than 2"
"Bad";21.916639;"Medium";"5 or more";"High school";"More than 2"
"Bad";25.340922;"Medium";"Less than 5";"High school";"None or 1"
"Bad";37.678140;"Medium";"5 or more";"College";"More than 2"
"Bad";27.430251;"Low";"5 or more";"High school";"More than 2"
"Bad";41.714453;"Low";"5 or more";"High school";"More than 2"
"Bad";34.815028;"Low";"5 or more";"College";"More than 2"
"Bad";32.428819;"Low";"5 or more";"High school";"More than 2"
"Bad";33.912536;"Low";"5 or more";"High school";"More than 2"
"Bad";23.244507;"Low";"5 or more";"High school";"More than 2"
"Bad";32.911317;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.083027;"Medium";"5 or more";"College";"More than 2"
"Bad";40.205166;"Medium";"5 or more";"High school";"More than 2"
"Bad";25.318982;"Low";"5 or more";"High school";"More than 2"
"Bad";44.685531;"Medium";"5 or more";"College";"More than 2"
"Bad";26.297969;"Low";"5 or more";"College";"More than 2"
"Bad";28.438011;"Low";"5 or more";"High school";"More than 2"
"Bad";31.752494;"Medium";"Less than 5";"College";"None or 1"
"Bad";36.562823;"Medium";"Less than 5";"College";"None or 1"
"Bad";30.092860;"Low";"5 or more";"High school";"More than 2"
"Bad";27.644349;"Low";"5 or more";"High school";"More than 2"
"Bad";23.976817;"Low";"5 or more";"High school";"More than 2"
"Bad";23.410439;"Low";"5 or more";"College";"More than 2"
"Bad";23.793452;"Low";"5 or more";"High school";"More than 2"
"Bad";21.554114;"Low";"5 or more";"High school";"More than 2"
"Bad";35.293283;"Low";"Less than 5";"College";"None or 1"
"Bad";22.464770;"High";"5 or more";"High school";"None or 1"
"Bad";43.661888;"Low";"5 or more";"High school";"More than 2"
"Bad";20.395082;"Low";"Less than 5";"College";"More than 2"
"Bad";25.111714;"Medium";"5 or more";"College";"More than 2"
"Bad";23.031022;"Low";"5 or more";"High school";"More than 2"
"Bad";25.473953;"Medium";"5 or more";"College";"None or 1"
"Bad";27.103922;"Medium";"5 or more";"High school";"More than 2"
"Bad";30.319101;"Low";"5 or more";"College";"More than 2"
"Bad";36.662064;"Medium";"5 or more";"College";"More than 2"
"Bad";36.480523;"Low";"5 or more";"College";"More than 2"
"Bad";31.195771;"Medium";"5 or more";"High school";"More than 2"
"Bad";31.078256;"Medium";"5 or more";"College";"More than 2"
"Bad";26.405903;"Medium";"5 or more";"College";"More than 2"
"Bad";31.996999;"Low";"5 or more";"College";"More than 2"
"Bad";37.449667;"Medium";"5 or more";"High school";"None or 1"
"Bad";35.829461;"Low";"5 or more";"College";"More than 2"
"Bad";25.027435;"Medium";"Less than 5";"College";"None or 1"
"Bad";21.007110;"Low";"Less than 5";"High school";"None or 1"
"Bad";31.990885;"High";"Less than 5";"High school";"More than 2"
"Bad";29.621566;"Low";"5 or more";"High school";"More than 2"
"Bad";43.981550;"Medium";"5 or more";"High school";"More than 2"
"Bad";21.827802;"Medium";"5 or more";"High school";"More than 2"
"Bad";31.051457;"Low";"5 or more";"College";"None or 1"
"Bad";27.418081;"Low";"5 or more";"College";"More than 2"
"Bad";29.994165;"Low";"5 or more";"College";"None or 1"
"Bad";23.023745;"Medium";"Less than 5";"College";"None or 1"
"Bad";25.736815;"High";"5 or more";"High school";"None or 1"
"Bad";28.500196;"Low";"5 or more";"College";"More than 2"
"Bad";20.544047;"Low";"5 or more";"College";"More than 2"
"Bad";30.558408;"High";"5 or more";"High school";"More than 2"
"Bad";38.392336;"Medium";"Less than 5";"College";"None or 1"
"Bad";24.161160;"Low";"5 or more";"College";"More than 2"
"Bad";26.949603;"Low";"5 or more";"College";"More than 2"
