last day voice use,last day data use
15.482889,14.535861
12.074545,12.822989
12.909645,8.839132
11.401144,5.393628
11.880633,12.290285
2.564949,10.908284
10.303806,11.598167
8.212568,12.190725
14.355075,11.485318
,15.485589
7.529406,11.447928
16.814668,13.703752
14.469966,7.824846
14.846583,12.370739
9.537988,6.236370
14.493244,11.330588
14.197007,8.429891
14.007499,9.948126
14.822876,6.613384
10.508049,4.912655
11.466211,8.061487
10.385975,11.215395
10.832675,10.855416
16.417127,17.282150
13.346268,10.229621
16.321082,
13.979621,7.154615
11.428739,12.727004
12.054593,16.179190
11.503138,9.318208
10.402109,8.113427
15.937396,7.908019
9.216124,11.975162
4.060443,13.581060
9.739202,12.209512
11.583962,15.185838
12.665158,9.867394
11.947729,10.730816
8.591001,12.003234
8.163086,13.522064
,10.082972
12.701232,10.304744
3.871201,15.815638
12.621580,7.045777
16.282353,11.301797
11.905474,14.197532
10.224375,12.055215
5.513429,14.424210
5.587249,15.920350
10.661228,13.629753
13.669888,14.576567
12.229008,12.232106
12.508123,4.867534
8.439448,13.163367
13.803981,12.356878
14.713439,14.573959
7.383989,12.732256
14.507547,8.636042
11.579958,7.717351
6.322565,7.406711
9.424080,16.495766
8.134174,7.947679
5.659482,5.043425
9.397484,9.000976
7.221836,14.952425
13.778912,15.060481
8.123854,14.227604
11.450433,7.338238
10.760262,12.700763
6.867974,16.474924
13.906977,14.319165
8.949235,13.081929
10.615604,8.366370
8.801469,14.142008
12.467348,13.877787
15.342663,14.154892
12.102621,10.553414
13.117660,10.631881
14.827504,10.657095
10.639095,4.143135
1.098612,16.318193
11.236183,8.052933
6.248043,8.843038
7.404888,11.762142
10.236848,15.027855
8.295299,0.000000
11.261434,11.631677
8.176110,8.979165
5.023881,15.897507
9.791382,
11.917930,8.775086
15.735160,12.302069
13.934058,8.687611
10.443367,13.910541
15.536570,13.762299
12.724786,10.192531
17.324131,
13.353488,11.254595
12.151205,4.969813
7.078342,8.521185
14.966248,2.197225
4.430817,13.870019
7.254885,5.416100
14.197681,10.365175
12.275888,2.944439
11.143657,6.003887
12.087131,11.764408
11.612445,13.925334
12.288210,12.142318
,15.034176
10.536699,15.137105
9.727287,14.613463
11.107855,10.855165
13.791561,5.814131
10.793188,4.418841
9.803999,13.913519
10.663686,14.839434
13.143187,16.466226
15.350413,14.956303
13.267694,11.385092
11.343654,11.467876
10.588451,
4.867534,13.971376
2.564949,14.266798
10.756860,16.559339
10.070484,13.399687
9.259035,14.484926
3.091042,13.363649
6.559615,15.204694
9.091669,13.962130
11.191673,9.118225
14.576373,9.343734
2.079442,3.850148
13.461143,4.718499
11.020676,4.905275
12.594219,5.669881
13.579603,5.030438
11.161792,14.931452
15.741805,8.297294
9.484937,12.934647
6.135565,13.292946
10.096007,
6.771936,7.778211
12.344738,12.402433
11.619922,9.912844
13.159977,11.680649
12.011565,6.597146
10.675030,13.829685
8.818778,8.432071
5.605802,14.944522
9.388989,11.275759
10.358282,2.944439
9.316231,16.291508
,8.277412
8.423102,11.195883
16.221843,16.007147
10.778706,12.479784
,5.564520
13.221950,14.631789
13.405444,10.812572
14.000273,11.451880
16.830454,13.626666
13.359861,10.744818
12.990442,11.749648
12.596735,13.197601
13.795905,13.575394
9.971567,17.630740
6.230481,13.869907
8.646993,12.980818
9.566965,6.016157
12.025504,10.367567
9.786729,6.897705
13.676731,10.994538
9.462654,15.379734
13.403709,14.585064
14.499532,13.963981
13.443290,12.954127
11.079724,9.234545
6.450470,
10.120653,10.354245
11.204578,11.208151
6.415097,13.673923
12.777987,10.805801
13.739139,5.209486
13.137993,9.060215
10.963099,14.457492
,13.696873
7.999343,15.164594
7.503290,9.751618
9.986587,7.032624
5.891644,8.881420
13.746138,9.986633
,9.638089
,5.225747
11.139221,14.594525
17.096203,15.659402
14.329615,10.928130
15.176457,7.637716
14.113144,13.958392
10.234409,7.286192
3.970292,9.737315
14.109241,4.127134
12.545583,9.912398
14.247503,6.854355
14.744957,12.207182
7.557995,10.591296
14.251266,4.691348
13.110382,16.907476
16.944193,12.730609
13.967640,15.534653
6.566672,14.270236
13.406218,14.429099
12.173973,11.179897
12.552424,13.132638
12.656645,14.009399
9.990903,12.541426
11.657286,15.014691
10.036925,12.414082
5.880533,
7.771489,11.600607
12.203168,10.647708
11.422191,3.044522
12.572142,11.453695
4.330733,1.945910
9.643745,4.043051
9.576094,11.849305
7.425358,14.509853
12.903585,0.000000
0.000000,10.689988
3.433987,12.894190
12.877197,12.838450
7.145196,0.000000
12.246802,3.091042
13.167383,11.330132
9.031453,8.896041
13.852742,9.909569
0.693147,8.503703
16.695004,11.650459
10.276705,10.044727
12.796722,11.837737
11.306787,11.810397
4.615121,14.279374
11.887120,13.753380
9.821844,8.099251
10.750857,8.705331
5.638355,5.552960
10.711057,9.181941
12.857773,6.809039
,15.185577
13.188071,7.764721
4.948760,8.790573
12.511401,4.718499
7.636270,14.349423
13.553663,12.128895
1.945910,15.409662
12.551069,14.122089
4.094345,14.695772
5.480639,15.722434
6.122493,15.812188
3.367296,11.520467
11.102141,10.008883
10.680930,11.554988
7.707962,13.567216
,14.421666
14.936069,11.977628
16.130967,14.112833
9.579556,
3.367296,4.700480
12.859327,13.378536
7.284821,15.403101
1.098612,14.580611
12.836243,5.420535
6.874198,11.077207
14.321581,13.488053
16.331061,11.402418
14.117897,5.468060
12.015378,13.846426
5.902633,12.202175
9.606496,13.733232
9.329012,6.037871
7.996317,
9.487972,9.137339
2.397895,6.660575
14.623857,8.087948
6.810142,9.968807
12.546878,13.001898
13.169571,15.440819
10.899107,11.742027
12.366596,11.038673
6.664409,8.640295
11.920335,9.207436
8.247220,5.932245
3.784190,11.609834
13.073163,13.174834
10.359456,8.684909
8.824531,14.760807
9.597506,12.408446
15.546770,10.400194
5.010635,5.634790
11.080957,3.044522
10.521750,10.423709
11.208314,12.006719
10.634388,11.675036
7.889459,6.356108
17.283808,11.213953
12.259443,10.174621
12.453003,13.340945
14.757721,0.693147
6.858565,14.102151
3.178054,11.016331
12.151733,8.254529
12.934985,12.066834
11.685929,14.202435
9.945924,9.983592
9.670420,9.628393
13.502435,11.377495
16.608193,10.947274
9.761290,9.039433
5.484797,3.218876
5.897154,12.240160
16.807755,16.373536
13.411710,13.122669
5.948035,12.789263
12.443514,12.961544
9.218507,7.383989
13.254950,12.118563
10.848852,13.182888
12.665795,14.136419
9.164820,11.075490
7.566828,12.340957
16.621080,7.087574
3.713572,8.688117
10.366026,7.805475
2.772589,15.884830
12.462268,13.309367
10.974780,10.630625
13.248391,8.935509
11.961878,11.785042
10.979360,12.550761
,6.536692
6.790097,9.615739
6.287859,15.912118
10.659210,13.349147
11.589145,13.905948
8.882669,11.564227
14.292821,6.693324
3.258097,17.142651
12.267882,16.119982
5.159055,15.944212
9.170143,7.452402
13.928655,3.135494
11.935084,11.619805
15.960284,14.770697
11.945007,4.143135
10.290924,10.686475
17.130398,8.358666
15.966675,6.716595
15.593282,10.217641
11.377392,10.089718
5.771441,7.769379
14.446918,13.824431
2.944439,14.722995
12.942385,4.615121
13.106549,6.350886
14.145082,6.030685
10.957242,8.090096
7.636752,6.458338
3.091042,15.036625
9.574497,11.745100
12.225576,10.778790
13.535101,11.471082
12.944640,
8.373323,4.844187
13.177047,14.268736
13.783123,14.753558
7.567346,14.673493
5.786897,16.396173
14.437161,8.733433
9.844533,11.211996
15.985650,11.456302
11.021821,12.024383
14.093757,11.333105
12.411976,16.392809
13.314152,10.572470
10.057753,3.135494
5.081404,11.351853
1.791759,14.085851
14.135168,11.719728
13.335109,13.196023
8.214465,13.543582
5.141664,11.080557
10.522207,12.933641
11.145348,8.504108
15.854657,11.762282
16.001504,11.293836
8.983440,8.392310
8.208492,14.734513
8.418698,13.019704
12.957262,14.504153
8.256088,11.958342
6.484635,8.194229
1.791759,14.205165
11.088140,14.587419
10.655092,9.898375
11.526069,2.708050
11.113418,4.204693
9.020027,7.688455
11.701825,7.915348
11.394559,12.953923
8.705165,15.608990
16.077665,6.993015
9.571087,4.430817
9.706682,11.256186
15.576516,9.027138
0.693147,11.249090
,
12.985372,12.258807
,13.639537
11.470352,9.149316
7.809135,10.755837
12.532909,13.085704
13.425765,2.890372
12.262165,13.122089
12.340660,11.559952
8.286017,7.095064
11.797044,11.259284
,11.734708
9.077837,13.159569
6.992096,
14.382856,8.368461
13.339721,12.740171
11.518281,10.561914
6.855409,12.544208
11.255811,11.463914
,9.736547
7.429521,8.308692
12.463119,14.488613
11.669801,14.837411
15.298688,5.645447
16.044520,7.126087
11.214910,10.110420
5.337538,11.804146
9.325364,11.746708
8.149313,8.674880
14.675026,11.047280
13.922588,10.845719
0.000000,13.861485
10.121498,8.977146
8.033009,0.000000
10.324202,14.067414
11.746922,11.634205
10.736810,10.435615
16.191322,
12.003454,5.220356
0.000000,10.000115
8.328693,12.492769
15.180777,13.622930
0.693147,9.133675
8.641002,16.072733
12.549829,9.257224
0.000000,12.630091
6.679599,10.748411
8.807472,7.949797
9.481664,12.610911
11.556789,13.445556
14.391437,8.904902
16.872410,10.063691
9.504501,11.942816
11.052555,
11.791625,13.080543
6.979145,13.093906
6.326149,17.086884
6.376727,6.728629
11.497720,12.992858
8.286773,9.535390
0.000000,14.572306
4.859812,12.753951
8.950144,13.528891
9.771441,14.797838
0.693147,6.126869
10.392895,6.786717
15.303762,8.695674
12.404649,14.468678
1.386294,15.321149
9.445887,12.903005
13.253006,9.660333
11.264618,
8.533460,14.584911
11.077408,11.605550
7.812783,13.701823
15.094400,2.079442
15.183598,12.950507
10.451927,7.178545
12.716831,
11.998113,12.672244
12.259016,11.359728
16.101685,13.192402
8.100161,0.000000
9.606967,7.651120
12.204251,12.980758
12.079789,13.810071
15.824657,16.457637
5.075174,13.118132
12.388478,4.890349
9.903238,11.062458
10.627018,7.022868
8.606485,12.786941
1.386294,13.826212
10.133805,9.508888
16.530498,12.361982
9.664469,8.564840
11.686837,10.355200
13.765323,11.432691
15.642402,11.562268
14.153626,10.838325
8.507951,12.420256
15.297791,13.221343
9.826066,10.348462
6.214608,13.492201
11.521042,3.178054
14.836786,10.420882
11.830761,13.079120
16.119214,8.283999
12.023135,4.584967
13.591131,10.307251
13.331755,13.515777
11.789754,7.205635
4.077537,7.937732
9.316770,15.962439
15.595634,10.586913
,14.445827
7.433667,5.846439
10.696887,7.742402
12.001229,7.812783
12.496561,16.961669
10.644782,14.725160
11.876589,11.644787
15.372474,12.750299
13.499190,13.525408
,2.995732
10.447032,16.945540
14.151755,11.936774
8.549079,11.057219
15.281760,13.656007
2.079442,6.421622
13.162793,12.552410
5.049856,12.158221
12.534775,10.074411
12.370561,7.362645
10.800412,15.631701
4.110874,12.143266
10.927969,12.230219
11.752493,4.488636
12.232763,7.923348
,2.708050
13.980363,10.871156
6.989335,14.873925
8.436200,14.809368
12.921722,13.100279
5.231109,14.601030
7.644919,13.112141
13.255799,7.512618
10.277187,15.541607
15.470072,11.098425
12.542402,6.093570
13.392001,13.912775
9.758924,5.298317
2.772589,12.900114
15.678362,12.564673
11.132514,15.347344
11.036485,0.693147
13.250874,12.445385
12.090437,12.809336
14.554327,13.865035
14.074098,7.945910
12.428984,0.693147
14.321522,8.023880
16.253069,9.297710
7.149917,11.133201
12.986457,9.263597
8.358901,11.644953
10.134163,14.370773
15.176192,7.183112
12.180073,11.909874
,13.996268
13.131858,14.377038
12.810151,10.538926
13.041190,13.744143
1.945910,11.948046
15.628830,3.912023
14.867180,7.960324
4.804021,14.603784
8.925454,13.509857
12.151321,13.409203
7.216709,7.292337
14.616309,
9.268987,0.000000
16.517701,14.749292
13.482411,14.580578
7.972466,
10.749012,11.989141
12.975275,12.745999
14.143394,14.498696
10.150582,10.864006
8.901775,10.383503
7.275172,5.135798
12.128679,15.262932
11.853952,8.404920
5.955837,13.176183
11.340938,9.179778
10.199956,16.416728
,14.507769
15.353914,14.735355
14.419417,15.594851
15.370163,7.790282
11.216364,7.707512
13.141352,11.962063
,12.426970
12.480669,10.283772
7.574045,
9.136586,15.542328
16.511206,12.721184
12.288684,14.688984
7.509335,10.924859
17.367131,16.841739
4.127134,2.772589
6.941190,6.122493
5.666427,14.936704
11.159018,7.753194
11.912547,10.713084
7.763446,5.468060
17.038033,15.021347
16.326411,9.155145
13.526625,10.739219
8.746398,8.794976
11.170210,7.796469
11.963740,12.544785
16.312886,12.708919
2.197225,12.211558
14.592710,11.145031
10.923940,7.590347
,15.075335
15.926079,14.571769
,9.659120
4.060443,12.755090
11.296186,12.118492
9.039196,0.693147
7.584265,11.304067
12.380265,8.333751
5.170484,10.262385
14.889572,13.189126
3.044522,16.503652
15.071794,12.618321
11.255967,3.828641
11.587745,
9.688188,8.402456
13.457864,10.473563
12.446533,17.388752
,12.100773
13.395139,15.274873
10.172904,9.894245
6.680855,15.407776
11.795417,9.001716
9.520029,12.966077
13.865440,10.389488
,9.389825
9.380758,6.380123
14.335034,11.697145
15.876065,1.791759
12.044647,9.388821
5.433722,15.501912
8.521783,2.397895
9.506437,13.846878
12.717827,12.672689
10.394763,13.833415
13.694125,11.476676
12.494168,4.174387
2.708050,13.507271
12.008719,10.367127
12.971331,8.149313
8.542081,9.213635
15.575762,3.610918
14.678833,9.774858
12.113765,11.376487
10.519835,15.550481
14.835744,
8.431199,11.995728
14.444531,5.826000
7.910957,9.044758
13.938210,8.392763
10.312513,6.419995
7.248504,2.995732
11.845339,3.637586
,9.775427
9.078750,15.036964
10.096337,9.130106
13.073100,12.250233
8.984318,5.733341
14.334739,10.004192
13.839231,14.247743
2.302585,13.590972
13.845093,12.239445
9.044640,9.368540
,10.110298
15.176334,9.727049
8.543056,5.170484
12.985274,8.442039
10.130663,11.928790
9.599947,8.854808
13.764218,14.319629
11.037210,13.887699
15.565786,11.080665
14.898047,10.991140
13.157864,13.573984
7.407924,14.608313
13.354877,2.197225
,
10.393049,9.533076
13.039136,12.458418
9.331584,6.946976
3.295837,
12.013167,11.709355
13.461094,5.808142
11.445353,13.077872
10.811847,10.621230
10.020604,11.141746
3.496508,12.720733
15.929038,13.741438
7.145196,10.762954
,13.938881
10.893400,8.584852
15.984899,14.481893
11.346694,11.347555
8.857088,13.175635
9.926129,5.572154
13.112172,13.214268
15.192483,10.357076
2.484907,13.440226
15.472249,13.803469
10.066456,13.606669
12.853626,10.760325
14.196609,12.359068
14.319403,10.931892
12.696623,10.283053
16.843023,10.677177
12.371786,5.488938
7.914252,9.622781
14.632123,6.552508
11.975042,11.974405
9.850772,11.491395
14.103342,16.483014
10.876499,13.324584
4.543295,13.935594
14.170635,11.933187
15.587792,10.282164
17.574862,8.622274
13.061483,2.302585
14.336532,3.178054
12.014791,13.889489
13.667284,8.757941
10.160839,14.890151
3.465736,7.812783
6.142037,12.942940
7.942362,8.592115
10.726785,5.062595
11.299967,8.558143
14.173654,7.606387
10.824328,12.789851
9.550235,16.405084
12.869464,9.129889
13.887275,11.920588
11.413017,7.369601
11.041529,2.302585
15.339868,14.029839
12.942478,14.240302
15.374661,13.016696
6.285998,5.446737
8.847216,
7.641084,14.644402
12.737098,13.201921
14.399192,9.947887
9.058238,13.092496
4.442651,6.876265
9.537267,6.200509
11.164672,5.793014
0.000000,13.249079
13.690145,8.395929
3.931826,12.457220
10.975003,3.401197
10.974095,11.990643
14.772327,10.282746
15.025399,
12.900217,4.127134
14.589542,9.170560
11.417680,13.590615
14.341041,9.863186
2.079442,5.043425
1.609438,8.433812
14.361695,1.386294
,10.671417
13.359902,11.559580
9.123038,14.979103
11.964822,13.502870
12.875273,
5.736572,12.871180
8.111628,13.395177
11.993090,8.744169
11.016167,10.670814
10.153740,13.268667
13.654244,13.207891
9.990399,12.506503
2.833213,6.885510
13.400359,11.908441
13.285956,13.736872
12.329480,11.312521
,10.137650
11.020938,7.299121
9.799071,11.868093
5.897154,
5.789960,13.665010
9.838949,13.269978
11.191411,9.490771
14.999876,12.025545
16.583562,6.685861
6.884487,5.690359
13.719133,11.655830
12.798031,6.881411
6.210600,14.075921
16.317325,1.945910
13.612598,11.350089
2.197225,7.463363
9.397484,7.972466
14.274618,13.802117
3.135494,13.646916
2.995732,13.104248
13.419523,13.576086
8.985445,13.052747
11.663016,9.439148
11.282631,10.796837
12.863266,14.021957
6.033086,11.271070
10.279901,12.000720
11.846551,13.571366
10.692785,3.091042
12.716264,14.739060
9.601842,9.903087
11.161679,13.649554
0.000000,5.497168
10.820198,6.794587
6.519147,11.302772
12.146105,11.550924
14.062781,11.005262
15.569767,9.382191
11.977948,12.538881
,3.931826
0.693147,
11.036984,10.918392
12.121255,14.513905
7.327781,12.958356
11.171012,9.033723
15.510836,10.727246
14.974483,10.825701
16.272455,14.143676
12.053265,13.322104
14.217385,9.303831
10.793599,8.273081
11.668518,1.098612
15.529348,11.254077
0.000000,
14.551038,14.314851
13.218168,10.861438
11.745156,15.623688
10.387425,9.521861
9.397069,16.268768
12.487893,9.857653
10.474382,10.354149
14.271006,
,13.224931
11.191645,11.818408
13.727065,8.664060
9.452031,11.417680
8.787220,10.922786
10.518024,6.248043
13.609176,16.460527
,16.165917
1.386294,
10.315001,6.210600
14.313111,8.639942
13.513314,15.493562
14.340002,9.809232
13.260000,11.570921
6.423247,12.142499
11.099075,15.346361
5.365976,15.955662
9.577203,10.859902
14.912846,10.262629
11.583319,17.663494
12.596543,5.886104
10.470363,11.838575
0.000000,12.450402
13.628489,12.943380
,14.979841
5.799093,13.796846
6.486161,12.428140
14.852742,11.242494
2.995732,11.662388
5.010635,11.268737
9.784986,14.849141
8.218787,6.818924
13.432615,10.245622
3.526361,
11.885275,12.407788
1.386294,4.007333
11.867511,13.720087
12.243797,12.329745
13.272136,4.820282
9.782336,12.210055
13.408081,15.159884
10.996467,14.044651
15.410703,15.481400
6.293419,8.424859
1.386294,9.122820
12.098755,10.180210
1.386294,9.071538
7.585789,
8.506739,11.970281
8.338545,4.043051
8.593969,13.585045
11.009803,6.674561
12.484772,13.531025
12.401804,13.634089
14.003760,13.940545
8.165364,
9.836386,12.876972
13.621214,10.092205
5.411646,8.945854
7.811163,16.501794
11.611992,14.002775
10.604653,11.498137
12.992749,2.397895
12.942930,9.541082
13.671072,13.235733
16.567374,13.451801
14.649086,11.104747
13.533872,12.647124
3.091042,9.775995
3.850148,16.607383
8.781402,5.442418
9.317759,2.833213
15.033919,11.468639
12.374071,9.006019
13.145044,10.220559
14.764420,6.871091
10.930765,9.573037
13.863498,9.270588
9.511851,14.950421
11.222894,15.692778
11.269515,12.106611
8.464847,11.272331
10.240888,16.425559
15.031420,7.355641
12.039487,4.094345
11.785430,14.422986
8.064636,11.453048
13.788237,9.451560
14.548911,12.491996
15.278107,13.004267
5.247024,13.097025
15.396638,10.138006
9.380842,14.994686
2.197225,6.016157
9.272094,8.128585
11.102367,9.102978
11.009009,13.394469
11.702951,15.251034
13.806538,11.120757
13.659751,7.658228
10.066924,12.120509
13.259817,15.562360
11.598176,14.275055
0.000000,15.614991
12.097496,12.252068
14.046898,5.537334
12.168475,14.279806
9.250042,5.891644
4.990433,13.829173
16.201917,14.391062
12.641397,7.847763
13.086724,1.791759
13.675624,11.090950
12.428276,14.394620
2.484907,6.818924
10.551167,6.759255
13.746527,11.830797
4.234107,13.553616
11.952856,11.812526
16.356272,8.441823
13.276114,9.567875
13.527896,12.974494
4.158883,11.678525
12.402753,13.016847
7.833204,14.213419
14.622791,8.055475
15.761006,12.058912
12.909235,13.815138
0.693147,7.536897
12.222354,16.077021
13.697809,13.014756
10.779539,7.762171
8.442901,2.944439
5.231109,12.004703
5.135798,9.263881
11.053569,8.082711
9.880219,10.189456
14.255829,7.919356
2.772589,6.163315
16.300424,7.126891
14.617316,13.984686
10.990483,8.201660
6.517671,11.886391
11.973327,11.545780
12.834108,9.375261
12.407363,10.012252
9.129564,14.170723
1.945910,12.031231
11.474278,15.158838
14.746658,
15.484811,15.611629
,7.965198
14.250704,13.200631
10.910697,9.929740
,10.672507
15.348044,14.667180
13.877660,7.282074
0.000000,10.460213
13.446009,8.778018
4.941642,13.834863
9.698552,15.491830
4.189655,7.934155
13.277137,14.858498
11.554010,7.190676
4.663439,11.401580
9.206533,11.038351
7.436617,10.364198
11.388439,11.464355
13.797140,11.628252
13.259975,11.085445
8.657303,10.973649
8.743213,14.282665
13.836875,13.257675
9.917785,10.205923
10.392681,8.121777
8.768263,14.434467
10.927700,7.396335
3.663562,12.782475
13.237503,3.637586
15.231790,
14.792609,14.387059
11.261524,10.364892
7.706163,15.238933
13.560262,11.697494
13.617205,9.514953
12.952064,9.958354
16.373605,15.343186
5.609472,12.631550
14.914894,10.150504
14.117420,8.478244
13.816461,13.120632
5.521461,
6.329721,9.669409
11.268316,8.267962
9.979939,2.944439
14.258095,13.804324
14.470765,11.093676
13.655654,14.131897
11.413867,15.934473
9.567595,6.484635
8.899458,9.698736
13.646075,12.029950
11.259877,12.929999
13.005578,9.200492
9.727108,13.199021
8.694670,2.944439
12.169642,17.117925
9.216819,6.630683
11.386920,4.644391
15.446148,10.389057
15.597857,15.397505
12.348010,13.014366
14.241287,8.144389
2.833213,10.719273
11.269401,9.513994
11.848776,13.971351
15.376984,15.826680
13.814542,9.487745
0.000000,15.406157
10.701468,15.061695
11.469548,11.361951
15.170904,15.130653
11.300796,10.982951
12.827520,12.471655
9.973060,12.635450
5.579730,8.875986
5.525453,14.878852
11.304387,14.762687
0.000000,14.673297
13.026064,6.240276
,11.105047
16.316401,16.003939
5.616771,14.133523
12.673163,
3.663562,15.196552
12.228382,13.281230
15.383872,10.961226
3.295837,16.287336
5.883322,4.110874
5.924256,11.135027
16.167153,15.308288
1.386294,9.187072
10.382079,5.220356
11.726390,6.466145
0.000000,16.208356
12.414582,15.494445
15.268698,11.577167
12.061018,14.728782
,11.382247
1.945910,12.795466
14.754322,9.634889
5.455321,9.046526
0.693147,10.440449
